Timestamp,Source,Address,Active,Role,RSSI,Parent,ParentRSSI
2024-11-15T15:31:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:31:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:32:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:32:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:33:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:33:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:34:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:34:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:35:17,08,07,1,PARENT,-14,00,0
2024-11-15T15:35:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:36:17,08,07,1,PARENT,-14,00,0
2024-11-15T15:36:47,08,07,1,PARENT,-14,00,0
2024-11-15T15:37:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:37:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:38:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:38:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:39:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:39:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:40:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:40:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:41:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:41:47,08,07,1,PARENT,-14,00,0
2024-11-15T15:42:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:42:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:43:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:43:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:44:17,08,07,1,PARENT,-14,00,0
2024-11-15T15:44:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:45:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:45:47,08,07,1,PARENT,-13,00,0
2024-11-15T15:46:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:46:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:47:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:47:47,08,07,1,PARENT,-13,00,0
2024-11-15T15:48:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:48:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:49:17,08,07,1,PARENT,-15,00,0
2024-11-15T15:49:47,08,07,1,PARENT,-15,00,0
2024-11-15T15:50:17,08,07,1,PARENT,-14,00,0
